No,Rank,Total Score,Class,Total POI in Grid,[Raw] PUSAT PERBELANJAAN,[Raw] RESTORAN,[Raw] NEGERI,[Raw] KERETA API,[Raw] RUMAH SAKIT UMUM DAERAH/NEGERI,[Raw] USIA 25-29,[Raw] USIA 30-34,[Raw] S1,[Raw] WIRASWASTA,[Raw] PERDAGANGAN,[Normalized] PUSAT PERBELANJAAN,[Normalized] RESTORAN,[Normalized] NEGERI,[Normalized] KERETA API,[Normalized] RUMAH SAKIT UMUM DAERAH/NEGERI,[Normalized] USIA 25-29,[Normalized] USIA 30-34,[Normalized] S1,[Normalized] WIRASWASTA,[Normalized] PERDAGANGAN,[Final] PUSAT PERBELANJAAN,[Final] RESTORAN,[Final] NEGERI,[Final] KERETA API,[Final] RUMAH SAKIT UMUM DAERAH/NEGERI,[Final] USIA 25-29,[Final] USIA 30-34,[Final] S1,[Final] WIRASWASTA,[Final] PERDAGANGAN,ID_GRID
1,1,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,0
2,2,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,1
3,3,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,2
4,4,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,3
5,5,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,4
6,6,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,5
7,7,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,6
8,8,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,7
9,9,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,8
10,10,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,9
11,11,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,10
12,12,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,11
13,13,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,12
14,14,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,13
15,15,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,14
16,16,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,15
17,17,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,16
18,18,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,17
19,19,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,18
20,20,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,19
21,21,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,20
22,22,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,21
23,23,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,22
24,24,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,23
25,25,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,24
26,26,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,25
27,27,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,26
28,28,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,27
29,29,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,28
30,30,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,29
31,31,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,30
32,32,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,31
33,33,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,32
34,34,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,33
35,35,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,34
36,36,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,35
37,37,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,36
38,38,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,37
